Hz,dB(vout/vin)
268534.4375,-16.8906688690186
269153.46875,-16.8906154632568
269773.9375,-16.8905639648438
270395.84375,-16.890510559082
271019.15625,-16.8904590606689
271643.9375,-16.8904056549072
272270.125,-16.8903522491455
272897.78125,-16.8902988433838
273526.875,-16.8902454376221
274157.40625,-16.8901901245117
274789.40625,-16.89013671875
275422.875,-16.8900814056396
276057.78125,-16.8900279998779
276694.15625,-16.8899707794189
277332,-16.8899173736572
277971.3125,-16.8898620605469
278612.125,-16.8898048400879
279254.375,-16.8897495269775
279898.125,-16.8896923065186
280543.375,-16.8896369934082
281190.09375,-16.8895797729492
281838.28125,-16.8895225524902
282488,-16.8894634246826
283139.1875,-16.8894062042236
283791.90625,-16.8893489837646
284446.125,-16.8892917633057
285101.8125,-16.889232635498
285759.0625,-16.8891735076904
286417.8125,-16.8891143798828
287078.0625,-16.8890552520752
287739.84375,-16.8889961242676
288403.15625,-16.8889350891113
289068,-16.8888759613037
289734.34375,-16.8888149261475
290402.25,-16.8887538909912
291071.71875,-16.888692855835
291742.6875,-16.8886318206787
292415.25,-16.8885707855225
293089.3125,-16.8885097503662
293764.96875,-16.8884468078613
294442.15625,-16.8883838653564
295120.9375,-16.8883228302002
295801.25,-16.8882598876953
296483.125,-16.8881950378418
297166.59375,-16.8881320953369
297851.65625,-16.888069152832
298538.25,-16.8880043029785
299226.46875,-16.8879413604736
299916.25,-16.8878765106201
300607.625,-16.887809753418
301300.59375,-16.8877449035645
301995.1875,-16.8876800537109
302691.34375,-16.8876132965088
303389.125,-16.8875465393066
304088.5,-16.8874816894531
304789.5,-16.887414932251
305492.125,-16.8873462677002
306196.34375,-16.887279510498
306902.1875,-16.8872108459473
307609.6875,-16.8871440887451
308318.78125,-16.8870754241943
309029.53125,-16.8870067596436
309741.9375,-16.8869361877441
310455.96875,-16.8868675231934
311171.625,-16.8867988586426
311888.96875,-16.8867282867432
312607.9375,-16.8866577148438
313328.5625,-16.8865871429443
314050.875,-16.8865165710449
314774.84375,-16.8864459991455
315500.46875,-16.8863735198975
316227.78125,-16.886302947998
316956.75,-16.8862285614014
317687.40625,-16.8861560821533
318419.75,-16.8860836029053
319153.78125,-16.8860111236572
319889.5,-16.8859367370605
320626.9375,-16.8858623504639
321366.0625,-16.8857879638672
322106.875,-16.8857135772705
322849.40625,-16.8856391906738
323593.65625,-16.8855628967285
324339.625,-16.8854885101318
325087.3125,-16.8854122161865
325836.6875,-16.8853359222412
326587.84375,-16.8852596282959
327340.6875,-16.885181427002
328095.28125,-16.8851051330566
328851.625,-16.8850269317627
329609.71875,-16.8849487304688
330369.53125,-16.8848705291748
331131.125,-16.8847904205322
331894.46875,-16.8847122192383
332659.5625,-16.8846321105957
333426.40625,-16.8845520019531
334195.03125,-16.8844718933105
334965.4375,-16.884391784668
335737.625,-16.8843097686768
336511.5625,-16.8842277526855
337287.3125,-16.884147644043
338064.84375,-16.8840656280518
338844.15625,-16.8839817047119
339625.28125,-16.8838977813721
340408.1875,-16.8838157653809
341192.90625,-16.883731842041
341979.4375,-16.8836479187012
342767.78125,-16.8835639953613
343557.9375,-16.8834781646729
344349.9375,-16.8833923339844
345143.75,-16.8833065032959
345939.375,-16.8832206726074
346736.84375,-16.8831348419189
347536.15625,-16.8830471038818
348337.3125,-16.8829612731934
349140.3125,-16.8828735351563
349945.15625,-16.8827838897705
350751.875,-16.8826961517334
351560.4375,-16.8826065063477
352370.875,-16.8825187683105
353183.15625,-16.8824291229248
353997.34375,-16.8823375701904
354813.375,-16.8822479248047
355631.3125,-16.8821563720703
356451.125,-16.8820648193359
357272.84375,-16.8819732666016
358096.4375,-16.8818817138672
358921.9375,-16.8817882537842
359749.34375,-16.8816947937012
360578.65625,-16.8816013336182
361409.875,-16.8815078735352
362243,-16.8814144134521
363078.0625,-16.8813190460205
363915.03125,-16.8812236785889
364753.9375,-16.8811283111572
365594.78125,-16.881031036377
366437.5625,-16.8809356689453
367282.3125,-16.880838394165
368128.96875,-16.8807411193848
368977.59375,-16.8806419372559
369828.1875,-16.8805446624756
370680.71875,-16.8804454803467
371535.21875,-16.8803462982178
372391.71875,-16.8802452087402
373250.15625,-16.8801460266113
374110.59375,-16.8800449371338
374973,-16.8799438476563
375837.40625,-16.8798427581787
376703.8125,-16.8797397613525
377572.1875,-16.8796367645264
378442.59375,-16.8795337677002
379315,-16.879430770874
380189.40625,-16.8793277740479
381065.8125,-16.879222869873
381944.28125,-16.8791179656982
382824.75,-16.8790130615234
383707.25,-16.87890625
384591.78125,-16.8787994384766
385478.34375,-16.8786926269531
386366.96875,-16.8785858154297
387257.65625,-16.8784770965576
388150.375,-16.8783702850342
389045.15625,-16.8782596588135
389942,-16.8781509399414
390840.90625,-16.8780403137207
391741.875,-16.8779315948486
392644.9375,-16.8778209686279
393550.0625,-16.8777084350586
394457.3125,-16.8775959014893
395366.625,-16.8774833679199
396278.03125,-16.8773708343506
397191.5625,-16.8772583007813
398107.15625,-16.8771438598633
399024.90625,-16.8770294189453
399944.75,-16.8769149780273
400866.71875,-16.8767986297607
401790.8125,-16.8766822814941
402717.03125,-16.8765659332275
403645.40625,-16.8764495849609
404575.90625,-16.8763313293457
405508.53125,-16.8762130737305
406443.34375,-16.8760929107666
407380.28125,-16.8759746551514
408319.375,-16.8758544921875
409260.65625,-16.8757343292236
410204.09375,-16.8756122589111
411149.71875,-16.8754920959473
412097.53125,-16.8753681182861
413047.5,-16.8752460479736
413999.6875,-16.8751239776611
414954.03125,-16.875
415910.625,-16.8748760223389
416869.375,-16.8747501373291
417830.375,-16.8746242523193
418793.5625,-16.8744983673096
419758.96875,-16.8743724822998
420726.625,-16.8742446899414
421696.5,-16.874116897583
422668.625,-16.873987197876
423642.96875,-16.8738594055176
424619.5625,-16.8737297058105
425598.40625,-16.8735980987549
426579.53125,-16.8734664916992
427562.875,-16.8733367919922
428548.53125,-16.8732051849365
429536.4375,-16.8730716705322
430526.625,-16.8729381561279
431519.0625,-16.8728046417236
432513.84375,-16.8726692199707
433510.875,-16.8725337982178
